url,dsn,vsilist
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_CIRCULAR_HEAD.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_CIRCULAR_HEAD.zip,municipality_circular_head.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_CLARENCE.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_CLARENCE.zip,list_hydarea_clarence.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_CLARENCE.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_CLARENCE.zip,municipality_clarence.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DERWENT_VALLEY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DERWENT_VALLEY.zip,list_hydarea_derwent_valley.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DERWENT_VALLEY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DERWENT_VALLEY.zip,municipality_derwent_valley.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DEVONPORT.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DEVONPORT.zip,list_hydarea_devonport.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DEVONPORT.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DEVONPORT.zip,municipality_devonport.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DORSET.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DORSET.zip,list_hydarea_dorset.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DORSET.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_DORSET.zip,municipality_dorset.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_FLINDERS.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_FLINDERS.zip,list_hydarea_flinders.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_FLINDERS.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_FLINDERS.zip,municipality_flinders.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GEORGE_TOWN.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GEORGE_TOWN.zip,list_hydarea_george_town.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GEORGE_TOWN.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GEORGE_TOWN.zip,municipality_george_town.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GLAMORGAN_SPRING_BAY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GLAMORGAN_SPRING_BAY.zip,list_hydarea_glamorgan_spring_bay.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GLAMORGAN_SPRING_BAY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GLAMORGAN_SPRING_BAY.zip,municipality_glamorgan_spring_bay.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GLENORCHY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GLENORCHY.zip,list_hydarea_glenorchy.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GLENORCHY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_GLENORCHY.zip,municipality_glenorchy.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_HOBART.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_HOBART.zip,list_hydarea_hobart.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_HOBART.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_HOBART.zip,municipality_hobart.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_HUON_VALLEY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_HUON_VALLEY.zip,list_hydarea_huon_valley.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_HUON_VALLEY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_HUON_VALLEY.zip,municipality_huon_valley.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KENTISH.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KENTISH.zip,list_hydarea_kentish.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KENTISH.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KENTISH.zip,municipality_kentish.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KINGBOROUGH.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KINGBOROUGH.zip,list_hydarea_kingborough.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KINGBOROUGH.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KINGBOROUGH.zip,municipality_kingborough.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KING_ISLAND.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KING_ISLAND.zip,list_hydarea_king_island.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KING_ISLAND.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_KING_ISLAND.zip,municipality_king_island.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_LATROBE.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_LATROBE.zip,list_hydarea_latrobe.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_LATROBE.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_LATROBE.zip,municipality_latrobe.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_LAUNCESTON.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_HYDAREA_LAUNCESTON.zip,list_hydarea_launceston.gdb
